config,mean_time,mean_num_utterances,mean_utterances_per_turn,time,num_utterances,utterances_per_turn
bell,8.921683283633485,30.0,12.21153846154,11.4280843655 6.41528220177,37 23,1.42307692308 23.0
black-hole,9.474782188747705,27.666666666666668,2.5546594982077777,13.6455388308 5.46922055086 9.30958718459,49 13 21,1.58064516129 4.33333333333 1.75
flower_new,6.398530077934576,24.333333333333332,5.928571428571428,7.93268591563 5.29793930054 5.96496501764,27 14 32,1.5 14.0 2.28571428571
overlapping-chain-links,8.932895786221977,26.333333333333332,5.41851851851963,13.3015016476 4.01050833066 9.4866773804,41 12 26,1.36666666667 12.0 2.88888888889
rectangle-chain,14.04001082711484,37.666666666666664,2.032571032572564,17.7697968165 9.33848541578 15.0117502491,52 29 32,1.40540540541 2.23076923077 2.46153846154
table2,3.1159053683289137,10.666666666666666,2.9583333333333335,4.4601864179 3.1963716348 1.69115805229,15 9 8,1.875 3.0 4.0
asterisk,5.889394632973594,24.0,1.888888888891111,6.24163411458 5.53715515137,28 20,1.55555555556 2.22222222222
broken_heart,7.877193884056531,33.0,2.2738095238078575,7.71666388512 8.03772388299,35 31,2.33333333333 2.21428571429
diagonal-Ls,3.398691848912817,12.5,1.508333333335,4.47252380053 2.3248598973,17 8,1.41666666667 1.6
diagonal-zigzag,4.2883028162844665,17.333333333333332,7.166666666666667,5.14621260166 3.30318344831 4.41551239888,21 15 16,1.75 3.75 16.0
double_stairs,7.846716882783886,27.0,2.197916666666667,6.40487779776 9.28855596781,33 21,2.0625 2.33333333333
overlapping-reticles,6.9724273661790885,43.5,1.3633130081284146,6.79341771603 7.15143701633,35 52,1.45833333333 1.26829268293
slide_with_arch,9.096981334688376,58.5,1.3825231481481481,8.80410886606 9.38985380332,47 70,1.46875 1.2962962963
smiley,3.898220350342854,19.5,2.0098039215683334,4.35117278496 3.44526791573,23 16,1.35294117647 2.66666666667
suspension_bridge,13.552166275190729,79.5,1.5218033998497562,13.1419271509 13.9624053995,61 98,1.84848484848 1.19512195122
3d-diagonals,12.938690131925469,39.0,2.076923076925,10.4862178644 15.3911623995,56 22,2.15384615385 2.0
chains,11.435430399560197,48.0,4.005952380951666,10.9870305816 11.8838302175,61 35,2.17857142857 5.83333333333
duck,7.368245666554025,23.333333333333332,2.1973233737938096,6.98641723394 3.82655601501 11.2917637507,33 20 17,1.94117647059 2.22222222222 2.42857142857
embedded_fives,8.23164079189058,34.0,2.165991902832692,6.36899841626 10.0942831675,37 31,1.94736842105 2.38461538462
girl_with_frock,4.873423939280358,23.333333333333332,2.5322344322366668,4.2174312671 5.38878013293 5.01406041781,28 23 19,2.15384615385 1.64285714286 3.8
rubiks,5.351990399095331,19.666666666666668,4.498015873016667,6.43962736527 3.35655693213 6.25978689988,34 10 15,1.61904761905 10.0 1.875
street_lamps,20.29192329049168,47.0,1.9017713365541304,7.87352354924 32.7103230317,44 50,1.62962962963 2.17391304348
sun_and_birds-difficult,14.412636133035024,77.0,1.7906976744186047,14.412636133,77,1.79069767442
u-3,5.724803356328471,26.333333333333332,1.6460784313725492,4.12708161672 3.45407166878 9.59325678349,24 28 27,1.6 1.75 1.58823529412
3d-triangle,7.296970988652615,27.0,4.7925925925933335,11.7698524674 5.85796821515 4.26309228341,41 31 9,2.27777777778 3.1 9.0
cup,7.216164615418665,30.0,2.6286630036630036,7.13570110003 8.67508781354 5.83770493269,27 20 43,3.375 2.85714285714 1.65384615385
sickles-difficult,28.030800465742747,81.0,4.5,28.0308004657,81,4.5
3d-x_s,19.208744623247828,65.0,2.4642857142850003,21.3831604997 17.0343287468,82 48,2.92857142857 2.0
complex_five,4.6178072055181465,18.666666666666668,2.6666666666655554,7.13727146387 3.21636953354 3.49978061914,32 16 8,2.13333333333 3.2 2.66666666667
cross-stack,2.887836926513829,11.666666666666666,5.277777777777778,3.70489294926 2.91709884803 2.04151898225,16 9 10,8.0 4.5 3.33333333333
funny-cube,8.123349984485337,25.5,11.033333333333333,5.20187480052 11.0448251685,20 31,20.0 2.06666666667
hut_and_trees,12.686164724816576,41.0,2.822916666666667,14.9458665331 10.4264629165,57 25,3.5625 2.08333333333
multiple_concepts,9.114585381746235,29.0,3.2413793103448274,4.48390806516 13.7452626983,15 43,5.0 1.48275862069
3d-maze,6.189768097799572,15.0,3.928571428571429,4.73796569904 7.64157049656,10 20,5.0 2.85714285714
butterfly-difficult,12.109780351320902,33.0,1.736842105263158,12.1097803513,33,1.73684210526
ducks_in_pool,8.36663956243376,21.0,2.648795648797273,4.76946381728 16.8194265842 3.51102828582,11 32 20,3.66666666667 2.46153846154 1.81818181818
pickup_truck,8.401312857864701,28.0,2.5238095238092857,8.71281833251 8.08980738322,31 25,1.47619047619 3.57142857143
random_snake,11.743606948849127,37.5,6.357142857143333,13.8502763311 9.6369375666,43 32,2.04761904762 10.6666666667
staircase,3.2531158447252966,13.666666666666666,2.2296296296296294,2.84252966642 3.9601710995 2.95664676825,9 7 25,1.8 3.5 1.38888888889
superhero,6.594379816450477,27.5,3.770833333335,7.09537949959 6.09338013331,37 18,1.54166666667 6.0
torch,4.5197080850595315,13.5,2.6111111111094445,3.48243621985 5.55697995027,10 17,3.33333333333 1.88888888889
wtf,5.5832804560674605,26.0,2.194444444444444,9.46704150041 3.3982886831 3.88451118469,35 21 22,1.75 3.0 1.83333333333
x_equals_y,6.44876863360493,27.5,1.8110047846876314,5.34282530149 7.55471196572,19 36,1.72727272727 1.89473684211
